ASMID,SPECIESIN,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_024713875.1_ASM2471387v1,Morchella sp. 2016-57,2016-57,PRJNA635772,2944696,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2016-57,F7AA3508
GCA_024713865.1_ASM2471386v1,Morchella sp. 2016-72,2016-72,PRJNA635772,2944893,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2016-72,FA755507
GCA_024713755.1_ASM2471375v1,Morchella sp. 2018-W16,2018-W16,PRJNA635772,2944690,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2018-W16,F0640D9B
GCA_024713675.1_ASM2471367v1,Morchella sp. 2018-W22B,2018-W22B,PRJNA635772,2944687,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2018-W22B,F5AF4373
GCA_024713715.1_ASM2471371v1,Morchella sp. 2018-W26,2018-W26,PRJNA635772,2944689,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2018-W26,FBF4356B
GCA_024713625.1_ASM2471362v1,Morchella sp. 2018-W30,2018-W30,PRJNA635772,2944895,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2018-W30,F7F8EBB2
GCA_024713705.1_ASM2471370v1,Morchella sp. 2018-W38C,2018-W38C,PRJNA635772,2944894,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2018-W38C,FFA64BCD
GCA_024713785.1_ASM2471378v1,Morchella sp. 2018-W45,2018-W45,PRJNA635772,2944691,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2018-W45,FC5B71FE
GCA_013407065.1_ASM1340706v1,Morchella sp. a71,a71,PRJNA591407,2678603,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. a71,FA718272
GCA_040803415.1_ASM4080341v1,Paragyromitra ambigua,DC3734,PRJNA994929,1846254,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Paragyromitra,Paragyromitra ambigua,F67B4E65
GCA_040803915.1_ASM4080391v1,Paragyromitra infula,MICH352090,PRJNA994929,273506,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Paragyromitra,Paragyromitra infula,F7BAC46A
GCA_038503065.1_ASM3850306v1,Paragyromitra xinjiangensis,21138,PRJNA1096980,2303736,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Paragyromitra,Paragyromitra xinjiangensis,F79CD8DC
GCA_024516245.1_Pezech1,Peziza echinospora,CBS 144458,PRJNA460337,61495,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Pezizaceae,Peziza,Peziza echinospora,FC1EAD7A
GCA_016880775.1_ASM1688077v1,Phymatotrichopsis omnivora,NFPo1,PRJNA641071,231936,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Rhizinaceae,Phymatotrichopsis,Phymatotrichopsis omnivora,FCE40C36
GCA_040804125.1_ASM4080412v1,Pseudodiscina melaleucoides,MICH352039,PRJNA994929,44623,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Pseudodiscina,Pseudodiscina melaleucoides,F3990BF3
GCA_040803465.1_ASM4080346v1,Pseudoverpa anthracobia,ACD0563,PRJNA994929,2107762,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Pseudoverpa,Pseudoverpa anthracobia,F86FBC68
GCA_024516145.1_Pyrdom1,Pyronema domesticum,CBS 144463,PRJNA556281,47205,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Pyronemataceae,Pyronema,Pyronema domesticum,FAF7D0FC
GCA_024516155.1_Pyrom1,Pyronema omphalodes,CBS 144459,PRJNA368372,337075,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Pyronemataceae,Pyronema,Pyronema omphalodes,FA196355
GCA_008704415.1_Sphbr2,Sphaerosporella brunnea,Sb_GMNB300,PRJNA554466,1250544,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Pyronemataceae,Sphaerosporella,Sphaerosporella brunnea,FC2634FD
